transaction_id,description,amount,transaction_date
TXN-00040,IMPS ROMERO GONZALEZ AND BROOKS,70822.0,2026-07-16
TXN-00041,IMPS RYAN PLC,22643.0,2026-08-18
TXN-00042-A,UPI-GEORGE GROUP,33876.6,2026-08-21
TXN-00042-B,UPI-GEORGE GROUP,22584.4,2026-08-21
TXN-00044,IMPS ALLEN ALLEN,52296.0,2026-07-23
TXN-00045,ARROYO MILLER,60177.0,2026-08-27
TXN-00046,PAYMENT SPENCE PLC,78110.0,2026-07-30
TXN-00048,MARTIN ROSE PAYMENT,8716.0,2026-08-20
TXN-00049,UPI-HICKMAN LTD,10287.0,2026-08-02
TXN-00050,IMPS HARRIS COLLINS AND CARNEY,64624.0,2026-08-21
TXN-00051,NEFT-BROOKS LAM,76525.0,2026-08-04
TXN-00052,NEFT-WALKER LLC,25957.0,2026-08-28
TXN-00053,CHAPMAN AND SONS,47438.0,2026-08-07
TXN-00054-A,NEFT-ROBINSON JONES,53555.4,2026-07-24
TXN-00054-B,NEFT-ROBINSON JONES,35703.6,2026-07-24
TXN-00055,PAYMENT JONES INC,96448.0,2026-08-16
TXN-00056,PAYMENT JONES YOUNG,26112.0,2026-08-22
TXN-00057,WASHINGTON RYAN,56296.0,2026-08-23
TXN-00058,UPI-JOHNSTON SANCHEZ,59082.0,2026-07-21
TXN-00059,LEE DAVIS,71855.0,2026-07-12
TXN-00060,NEFT-GOMEZ JENKINS,99771.0,2026-07-11
TXN-00061,BROWN VALDEZ,64653.0,2026-08-04
TXN-00062,NEFT-POWELL LLC,22579.0,2026-08-10
TXN-00063,NEFT-WRIGHT AND,35760.0,2026-07-06
TXN-DUP-00063,NEFT-WRIGHT AND,35760.0,2026-07-06
TXN-00064-A,UPI-WEST HENDERSON AND RAMIREZ,55381.8,2026-07-19
TXN-00064-B,UPI-WEST HENDERSON AND RAMIREZ,36921.2,2026-07-19
TXN-00065,PAYMENT BAXTER INC,64788.0,2026-08-25
TXN-00066,MORTON CHASE,8665.0,2026-07-28
TXN-DUP-00066,MORTON CHASE,8665.0,2026-07-28
TXN-00067,IMPS WILLIAMS PLC,99038.0,2026-08-14
TXN-00068-A,NOVAK AND SONS,38095.8,2026-08-02
TXN-00068-B,NOVAK AND SONS,25397.2,2026-08-02
TXN-00069,IMPS RUSSELL GROUP,67562.0,2026-09-01
TXN-00070,HANCOCK INC,9907.0,2026-07-28
TXN-00071,IMPS GRAY GROUP,75568.0,2026-08-19
TXN-00073,HENDERSON BERNARD PAYMENT,75085.0,2026-08-01
TXN-00075,UPI-NOVAK PLC,32285.0,2026-08-18
TXN-00076,DANIELS ADKINS AND BROWN,85607.0,2026-08-15
TXN-00077,WOODS CALHOUN AND SCHMIDT,100.0,2026-08-05
TXN-00078,PAYMENT YU INC,71468.0,2026-08-21
TXN-00079,PAYMENT JONES INC,46745.0,2026-07-09
TXN-00080,UPI-HENSLEY POWELL AND DAVID,49434.0,2026-08-16
TXN-00081-A,IMPS SANCHEZ WHEELER AND HARVEY,24390.6,2026-07-26
TXN-00081-B,IMPS SANCHEZ WHEELER AND HARVEY,16260.4,2026-07-26
TXN-00082,UPI-SANDOVAL CUNNINGHAM,2025.0,2026-07-28
TXN-00083,DONOVAN HARRIS,14577.0,2026-07-09
TXN-00084,PAYMENT EDWARDS BAKER,14529.0,2026-07-18
TXN-00085,EVANS STEWART AND WALTON PAYMENT,95058.0,2026-08-13
TXN-00086,SMITH PLC,67244.0,2026-08-03
TXN-00087,FERRELL JONES,13097.0,2026-07-25
TXN-00088,ANDERSON BAILEY PAYMENT,44719.0,2026-07-16
TXN-00089,UPI-SUAREZ LLC,22178.0,2026-07-18
TXN-00090,MOORE BASS,57057.0,2026-07-30
TXN-00091,TURNER RIGGS PAYMENT,91573.0,2026-07-08
TXN-00092,SMITH MONTOYA PAYMENT,77350.0,2026-07-30
TXN-00093-A,GARCIA HUMPHREY AND BAKER,29277.0,2026-07-08
TXN-00093-B,GARCIA HUMPHREY AND BAKER,19518.0,2026-07-08
TXN-00095,IMPS CAMPBELL CLARK,88416.0,2026-08-28
TXN-00096,PAYMENT HARRIS WALTERS,54264.0,2026-07-26
TXN-DUP-00096,PAYMENT HARRIS WALTERS,54264.0,2026-07-26
TXN-00097,WAGNER KING,22299.0,2026-07-20
TXN-00098-A,NEFT-DAVIS GROUP,14705.4,2026-07-18
TXN-00098-B,NEFT-DAVIS GROUP,9803.6,2026-07-18
TXN-00099,PAYMENT WILLIAMS COOK,88806.0,2026-07-10
TXN-DUP-00099,PAYMENT WILLIAMS COOK,88806.0,2026-07-10
TXN-00100,WALSH LLC,35970.0,2026-08-24
TXN-DUP-00100,WALSH LLC,35970.0,2026-08-24
TXN-00101,NEFT-FIGUEROA PLC,51140.0,2026-07-10
TXN-00102,PAYMENT PATTERSON SMITH,30154.0,2026-08-28
TXN-00104,TRAN JORDAN PAYMENT,53227.0,2026-08-13
TXN-00105,UPI-NOLAN FLYNN,47025.0,2026-07-24
TXN-00106-A,NOLAN AND PAYMENT,42769.2,2026-08-13
TXN-00106-B,NOLAN AND PAYMENT,28512.8,2026-08-13
TXN-00107-A,WRIGHT GARCIA,14643.0,2026-07-28
TXN-00107-B,WRIGHT GARCIA,9762.0,2026-07-28
TXN-00108,DICKSON BRADY PAYMENT,79193.0,2026-08-07
TXN-00109-A,IMPS HANCOCK AND,34919.4,2026-07-27
TXN-00109-B,IMPS HANCOCK AND,23279.6,2026-07-27
TXN-00110,NEFT-JOHNSON DOYLE,25914.0,2026-08-18
TXN-00111-A,IMPS PATTON JENKINS,732.6,2026-08-01
TXN-00111-B,IMPS PATTON JENKINS,488.4,2026-08-01
TXN-00112-A,PAYMENT SHIELDS COCHRAN AND ADAMS,54616.2,2026-07-19
TXN-00112-B,PAYMENT SHIELDS COCHRAN AND ADAMS,36410.8,2026-07-19
TXN-00113,RODRIGUEZ BRENNAN AND GARRISON PAYMENT,48739.0,2026-08-07
TXN-00115-A,IMPS TORRES POPE,10400.4,2026-07-19
TXN-00115-B,IMPS TORRES POPE,6933.6,2026-07-19
TXN-00116,NEFT-WALKER LTD,41538.0,2026-07-23
TXN-00117,NEFT-ROSS LLC,92134.0,2026-08-16
TXN-00119,IMPS MAY ROSS,22810.0,2026-07-26
TXN-00120,IMPS RIVERA JOHNSON,1053.0,2026-08-15
TXN-00121,NEFT-WHITE ESTES,80516.0,2026-07-24
TXN-00122,NEFT-JOHNSON CARLSON,58954.0,2026-07-22
TXN-00125,PAYMENT SCOTT LTD,82167.0,2026-08-13
TXN-00126,PAYMENT SMITH FROST,89184.0,2026-08-15
TXN-00127,IMPS MCDANIEL BENTLEY AND MCLAUGHLIN,20313.0,2026-09-02
TXN-00128,UPI-DIAZ INC,10545.0,2026-08-05
TXN-00130,PAYMENT CORTEZ LLC,51328.0,2026-08-03
TXN-00131,PARKER ORTIZ AND POWELL,86990.0,2026-07-21
TXN-00132,UPI-SPENCER LEE,56724.0,2026-08-20
TXN-00133,BENTLEY BYRD,68889.0,2026-08-05
TXN-00134,IMPS CARROLL SULLIVAN AND BASS,60829.0,2026-09-02
TXN-00135,UPI-MITCHELL JORDAN,42588.0,2026-07-24
TXN-00136,PAYMENT LAWSON MORRIS,67162.0,2026-08-14
TXN-00137,PAYMENT LEWIS KENNEDY,98472.0,2026-07-10
TXN-00138,UPI-JACKSON MILLER AND ROBERTSON,84579.0,2026-08-17
TXN-DUP-00138,UPI-JACKSON MILLER AND ROBERTSON,84579.0,2026-08-17
TXN-00139,PAYMENT HARVEY DAVIS AND CRANE,32358.0,2026-08-17
TXN-00140,PAYMENT CHAMBERS AND SONS,36614.0,2026-08-13
TXN-00141,PAYMENT HERNANDEZ INC,20769.0,2026-08-20
TXN-00142,NEFT-RIGGS PLC,93591.0,2026-08-21
TXN-00143,GIBSON LTD,44369.0,2026-07-31
TXN-00144,IMPS LEE HORTON AND SNYDER,28110.0,2026-07-12
TXN-00145,NEFT-HERNANDEZ LTD,92163.0,2026-09-09
TXN-00146-A,STAFFORD INC PAYMENT,38110.8,2026-09-03
TXN-00146-B,STAFFORD INC PAYMENT,25407.2,2026-09-03
TXN-00147,IMPS ROBINSON BROCK,99759.0,2026-08-16
TXN-00148,PAYMENT HOLMES WILLIAMS AND WRIGHT,98978.0,2026-07-18
TXN-00149,NEFT-BRYANT GROUP,64993.0,2026-08-20
TXN-00150,NEFT-SCHMIDT HANSEN AND STEWART,4804.0,2026-08-10
TXN-00151,IMPS SALAZAR BALL,95919.0,2026-08-28
TXN-00152-A,UPI-SIMMONS MEADOWS AND GRIFFIN,42604.8,2026-09-02
TXN-00152-B,UPI-SIMMONS MEADOWS AND GRIFFIN,28403.2,2026-09-02
TXN-00153,NEFT-MANNING GROUP,4302.0,2026-08-29
TXN-00154,GREEN WRIGHT PAYMENT,24819.0,2026-08-31
TXN-00155,NEFT-RAMIREZ STRICKLAND AND WASHINGTON,28742.0,2026-08-05
TXN-00156-A,NEFT-HILL INC,22482.6,2026-07-17
TXN-00156-B,NEFT-HILL INC,14988.4,2026-07-17
TXN-00157,IMPS MITCHELL NELSON,34065.0,2026-07-12
TXN-00158,UPI-MILLER HERNANDEZ,7826.0,2026-08-12
TXN-00159,PAYMENT MCCARTHY INC,6276.0,2026-07-17
TXN-00160,PAYMENT RUSSELL DANIELS,27130.0,2026-07-12
TXN-00161,BROWN WALL,32266.0,2026-08-26
TXN-00162,STEIN SILVA PAYMENT,74920.0,2026-08-21
TXN-00163,PAYMENT SMITH GILMORE AND JOHNSTON,49251.0,2026-08-24
TXN-00164,IMPS SMITH BELL,41268.0,2026-08-28
TXN-00165-A,NEFT-CASTANEDA ASHLEY,53868.6,2026-07-07
TXN-00165-B,NEFT-CASTANEDA ASHLEY,35912.4,2026-07-07
TXN-00166,UPI-MEDINA NAVARRO,94718.0,2026-08-22
TXN-00167,UPI-HURST FREEMAN AND NELSON,83213.0,2026-08-19
TXN-00168,IMPS JOHNSON ROGERS,79697.0,2026-07-14
TXN-00169,YATES RAMSEY AND PITTMAN,6383.0,2026-08-12
TXN-00170,NEFT-HOOPER PLC,67317.0,2026-07-24
TXN-00171,MEADOWS PLC PAYMENT,65251.0,2026-08-28
TXN-00172,UPI-ALVARADO MILLER,84307.0,2026-07-12
TXN-00173,IMPS WHITE GREEN,69386.0,2026-07-24
TXN-00174,UPI-LEWIS MURPHY,64372.0,2026-08-05
TXN-00175,PAYMENT RAMIREZ BEAN,78656.0,2026-08-17
TXN-00176,NEFT-KING MILLER,12359.0,2026-08-21
TXN-00178,WALKER JONES PAYMENT,45092.0,2026-09-02
TXN-00179,WILLIAMS JOHNSON AND WRIGHT PAYMENT,24834.0,2026-08-03
TXN-00180,IMPS HOWELL AND SONS,37155.0,2026-07-09
TXN-00181,NEFT-WELLS INC,26042.0,2026-08-29
TXN-00182,UPI-GOULD MARSHALL AND SCOTT,65038.0,2026-07-30
TXN-DUP-00182,UPI-GOULD MARSHALL AND SCOTT,65038.0,2026-07-30
TXN-00183,JACKSON LAWSON,94302.0,2026-08-03
TXN-00184,HIGGINS STRICKLAND AND MARTIN PAYMENT,13196.0,2026-08-16
TXN-00185,IMPS RODRIGUEZ JOHNSON,88026.0,2026-07-28
TXN-00186,UPI-JOHNSTON ODONNELL,70588.0,2026-08-12
TXN-00187,NEFT-SANDERS ESPINOZA,73140.0,2026-08-13
TXN-00188,VARGAS LTD,36509.0,2026-08-15
TXN-00189,UPI-GARCIA LLC,95540.0,2026-08-22
TXN-00191,REED GROUP PAYMENT,26105.0,2026-08-21
TXN-DUP-00191,REED GROUP PAYMENT,26105.0,2026-08-21
TXN-00192-A,WOOD HUNTER AND PETERSON PAYMENT,57583.2,2026-07-28
TXN-00192-B,WOOD HUNTER AND PETERSON PAYMENT,38388.8,2026-07-28
TXN-00193,PAYMENT SHORT GARCIA,14176.0,2026-07-12
TXN-00194,UPI-REID POOLE,48301.0,2026-08-23
TXN-00195,IMPS HERNANDEZ THOMPSON AND BOYD,71010.0,2026-08-26
TXN-00196-A,NEFT-NELSON MORTON AND MEDINA,23574.0,2026-07-21
TXN-00196-B,NEFT-NELSON MORTON AND MEDINA,15716.0,2026-07-21
TXN-00197,MARSHALL PETERSEN PAYMENT,14446.0,2026-07-10
TXN-00198,ADAMS CHRISTIAN,62524.0,2026-08-04
TXN-00199,RAMIREZ GROUP,34092.0,2026-07-10
TXN-00200,UPI-CHRISTENSEN PLC,53521.0,2026-08-03
TXN-00201,BARNETT ROGERS AND SNYDER PAYMENT,90974.0,2026-08-31
TXN-00202,NEFT-WHITE LEWIS,12164.0,2026-08-19
TXN-00203,PAYMENT PETERSON BEARD,80471.0,2026-07-27
TXN-DUP-00203,PAYMENT PETERSON BEARD,80471.0,2026-07-27
TXN-00204,IMPS BEARD PETERS,69494.0,2026-08-10
TXN-00205,IMPS MILLER LTD,57107.0,2026-08-15
TXN-00206-A,PAYMENT FREEMAN CHANG,58802.4,2026-08-28
TXN-00206-B,PAYMENT FREEMAN CHANG,39201.6,2026-08-28
TXN-00207,PAYMENT ALVAREZ JOSEPH,82987.0,2026-08-21
TXN-00208,NEFT-DAVIS AND,23782.0,2026-07-30
TXN-00209,HOLT TORRES,91357.0,2026-07-27
TXN-00211,PIERCE BELL AND CHAVEZ PAYMENT,93141.0,2026-07-10
TXN-00213,PAYMENT STEWART LTD,26928.0,2026-08-07
TXN-00214-A,TAPIA VAUGHN AND LEE,51531.6,2026-08-25
TXN-00214-B,TAPIA VAUGHN AND LEE,34354.4,2026-08-25
TXN-00215,IMPS WASHINGTON HARDY AND BRAY,8816.0,2026-08-24
TXN-DUP-00215,IMPS WASHINGTON HARDY AND BRAY,8816.0,2026-08-24
TXN-00216,UPI-CARLSON HOOPER AND WALL,38828.0,2026-08-06
TXN-00217,NEFT-PEREZ WHITE,53757.0,2026-08-17
TXN-00218,IMPS ERICKSON AND SONS,57377.0,2026-08-29
TXN-00219,UPI-WILLIAMS BROWN,33816.0,2026-09-02
TXN-00220-A,UPI-TERRY MARTINEZ,45835.2,2026-07-28
TXN-00220-B,UPI-TERRY MARTINEZ,30556.8,2026-07-28
TXN-00221,PAYMENT GARCIA SMITH,36325.0,2026-07-29
TXN-00223-A,NEFT-SHEPPARD LLC,22474.8,2026-08-23
TXN-00223-B,NEFT-SHEPPARD LLC,14983.2,2026-08-23
TXN-00224,WILSON JONES,84202.0,2026-07-13
TXN-00225,JONES SOTO PAYMENT,62605.0,2026-08-12
TXN-00226,NEFT-HERNANDEZ PLC,88835.0,2026-09-02
TXN-00227,NEFT-MILLER WRIGHT,91921.0,2026-08-03
TXN-00228,DURAN OBRIEN PAYMENT,73102.0,2026-09-01
TXN-00229,IMPS ROWE GROUP,16194.0,2026-07-16
TXN-00230,NEFT-KERR EVANS,1150.0,2026-07-29
TXN-00231,NEFT-BRANCH TORRES AND OLIVER,8104.0,2026-08-22
TXN-00232,IMPS CHOI GARCIA,82973.0,2026-08-06
TXN-DUP-00232,IMPS CHOI GARCIA,82973.0,2026-08-06
TXN-00233,NEFT-CLARK GUERRERO AND MOORE,18172.0,2026-07-06
TXN-00234-A,PAYMENT ARNOLD AND SONS,10149.0,2026-09-02
TXN-00234-B,PAYMENT ARNOLD AND SONS,6766.0,2026-09-02
TXN-00235,ORTIZ LTD,94032.0,2026-08-24
TXN-00236,HARRISON JOHNSON AND ROBERTS,73384.0,2026-08-08
TXN-00237,NEFT-WARNER GIBSON,61232.0,2026-08-27
TXN-00238,NEFT-HALL BAKER,94926.0,2026-08-16
TXN-00239,PAYMENT GUERRERO PECK,62894.0,2026-08-19
TXN-00240,WALKER HERNANDEZ,79561.0,2026-08-02
TXN-DUP-00240,WALKER HERNANDEZ,79561.0,2026-08-02
TXN-00241,IMPS JONES AND,37208.0,2026-07-16
TXN-DUP-00241,IMPS JONES AND,37208.0,2026-07-16
TXN-00242,UPI-LARSON HOLLOWAY,36018.0,2026-07-13
TXN-00243,PAYMENT GONZALES HARRISON,39132.0,2026-07-12
TXN-00244,LYONS BENDER PAYMENT,59529.0,2026-07-31
TXN-00245,FERNANDEZ KIM PAYMENT,73340.0,2026-07-17
TXN-00246,NEFT-NAVARRO MUNOZ,25727.0,2026-07-21
TXN-00247,DAVIS LTD,31613.0,2026-07-11
TXN-DUP-00247,DAVIS LTD,31613.0,2026-07-11
TXN-00248,NEFT-MATTHEWS SMITH AND HUBBARD,42704.0,2026-07-18
TXN-00249,UPI-JOHNSTON HINES,51604.0,2026-07-23
TXN-DUP-00249,UPI-JOHNSTON HINES,51604.0,2026-07-23
TXN-00250-A,PAYMENT RUIZ LTD,12561.6,2026-08-03
TXN-00250-B,PAYMENT RUIZ LTD,8374.4,2026-08-03
TXN-00251,MOON WHITE,66836.0,2026-07-28
TXN-00252,UPI-GRAHAM OLSEN,58711.0,2026-08-28
TXN-00253,BAILEY COOK,19894.0,2026-08-12
TXN-00254-A,UPI-GARCIA MARTIN,37522.2,2026-07-15
TXN-00254-B,UPI-GARCIA MARTIN,25014.8,2026-07-15
TXN-00255,ROBERTS LANDRY PAYMENT,53098.0,2026-07-24
TXN-00256,UPI-JOHNSON MILLER AND KING,89389.0,2026-07-11
TXN-00257,IMPS CORDOVA GROUP,95203.0,2026-07-09
TXN-DUP-00257,IMPS CORDOVA GROUP,95203.0,2026-07-09
TXN-00258,BRYAN SMITH AND BOOTH PAYMENT,5705.0,2026-07-26
TXN-00259,GUTIERREZ LOPEZ,30817.0,2026-07-18
TXN-00260,PAYMENT DEAN JIMENEZ,84066.0,2026-07-26
TXN-00261-A,WOLF HARRIS,55178.4,2026-08-15
TXN-00261-B,WOLF HARRIS,36785.6,2026-08-15
TXN-00262,NEFT-ANDERSON ROBERTS,43516.0,2026-07-15
TXN-00263,IMPS MARTINEZ DUDLEY,20080.0,2026-08-19
TXN-00264,IMPS LLOYD MCKINNEY,90364.0,2026-07-15
TXN-00266,NEFT-GAY INC,65980.0,2026-07-07
TXN-00267,UPI-VALENTINE HOLLAND,84611.0,2026-08-18
TXN-00268,UPI-JIMENEZ LTD,2231.0,2026-07-13
TXN-00269,HICKS HILL PAYMENT,72643.0,2026-08-24
TXN-00270,UPI-BAIRD SANCHEZ,77014.0,2026-08-15
TXN-00271,NEFT-THOMAS LEE AND GREENE,33780.0,2026-08-09
TXN-00272,SUAREZ SHIELDS PAYMENT,14979.0,2026-08-19
TXN-00273,UPI-MORGAN FRENCH,92655.0,2026-08-16
TXN-00274,UPI-HOOVER CAMPBELL,52879.0,2026-08-17
TXN-00275-A,UPI-MONROE CARPENTER,59163.0,2026-08-31
TXN-00275-B,UPI-MONROE CARPENTER,39442.0,2026-08-31
TXN-00276-A,PAYMENT BURNS HERNANDEZ,39664.2,2026-07-12
TXN-00276-B,PAYMENT BURNS HERNANDEZ,26442.8,2026-07-12
TXN-00277,UPI-COOK HINES,80569.0,2026-07-14
TXN-00278,UPI-GIBSON MORRIS,25920.0,2026-07-26
TXN-00279,UPI-POLLARD AND SONS,87400.0,2026-07-25
TXN-00280,REYES CHASE PAYMENT,6167.0,2026-08-15
TXN-DUP-00280,REYES CHASE PAYMENT,6167.0,2026-08-15
TXN-00281,GARNER THORNTON PAYMENT,96991.0,2026-08-26
TXN-00282,PAYMENT HUGHES ALVARADO,43823.0,2026-07-18
TXN-00283,IMPS POLLARD SIMPSON AND JOHNSON,18322.0,2026-07-15
TXN-00284,NEFT-SANFORD RIVERA,66771.0,2026-07-07
TXN-00285,NEFT-GARCIA LOZANO,39684.0,2026-07-21
TXN-00286,PAYMENT BOWEN GROUP,10869.0,2026-08-25
TXN-DUP-00286,PAYMENT BOWEN GROUP,10869.0,2026-08-25
TXN-00288,MORGAN SCHWARTZ,53089.0,2026-07-16
TXN-00289,MILLER MURPHY PAYMENT,52717.0,2026-09-03
TXN-00291,BRENNAN JOHNSON,77619.0,2026-08-15
TXN-00292,IMPS YOUNG LTD,89452.0,2026-08-20
TXN-00293-A,PAYMENT BRIGHT FRANCIS,44750.4,2026-08-14
TXN-00293-B,PAYMENT BRIGHT FRANCIS,29833.6,2026-08-14
TXN-00294,UPI-GOOD HODGES,84889.0,2026-08-30
TXN-00295,BRENNAN WALLACE,40608.0,2026-07-24
TXN-00296,PAYMENT WILLIAMS INC,40893.0,2026-08-03
TXN-00297,HOWARD JORDAN PAYMENT,71457.0,2026-08-26
TXN-00299,UPI-SPARKS JACKSON AND MILLER,71554.0,2026-08-08
TXN-00300,NEFT-HARVEY ALLEN,13978.0,2026-07-12
TXN-00302,PAYMENT ESTRADA NOLAN,29477.0,2026-08-06
TXN-00303-A,SANTANA BYRD PAYMENT,29122.2,2026-08-28
TXN-00303-B,SANTANA BYRD PAYMENT,19414.8,2026-08-28
TXN-00304-A,JONES LLC PAYMENT,43418.4,2026-07-08
TXN-00304-B,JONES LLC PAYMENT,28945.6,2026-07-08
TXN-00305,NEFT-EVANS HAYDEN AND VAUGHN,8936.0,2026-08-09
TXN-00306,UPI-BRUCE GONZALEZ,13015.0,2026-07-23
TXN-00307,CASTANEDA RODRIGUEZ PAYMENT,79269.0,2026-09-02
TXN-00308,PAYMENT ARMSTRONG ANDREWS,32925.0,2026-08-26
TXN-DUP-00308,PAYMENT ARMSTRONG ANDREWS,32925.0,2026-08-26
TXN-00309,PAYMENT PHILLIPS SPENCE,9992.0,2026-07-12
TXN-DUP-00309,PAYMENT PHILLIPS SPENCE,9992.0,2026-07-12
TXN-00310,IMPS SMITH GRIMES,31539.0,2026-08-13
TXN-DUP-00310,IMPS SMITH GRIMES,31539.0,2026-08-13
TXN-00311,IMPS BELTRAN LOZANO AND MCGEE,1371.0,2026-08-21
TXN-00312,UPI-PARSONS HALL,33853.0,2026-07-14
TXN-00313,PAYMENT ROBINSON LEE,4379.0,2026-08-26
TXN-00314,BYRD LE PAYMENT,78182.0,2026-08-14
TXN-00315,UPI-BECKER TAYLOR AND DAVIS,7868.0,2026-08-26
TXN-DUP-00315,UPI-BECKER TAYLOR AND DAVIS,7868.0,2026-08-26
TXN-00316,IMPS LUCAS PARKER,9330.0,2026-08-04
TXN-00317,DIAZ ANDERSON AND BROWNING,15293.0,2026-08-06
TXN-00318-A,UPI-BURGESS THOMPSON,57792.6,2026-07-15
TXN-00318-B,UPI-BURGESS THOMPSON,38528.4,2026-07-15
TXN-00319,BUCHANAN LLC,69347.0,2026-08-15
TXN-00320,NEFT-SHAW NELSON AND MARTIN,8972.0,2026-08-10
TXN-00321,COFFEY PHILLIPS,94375.0,2026-07-07
TXN-00322,PAYMENT BROCK MCDONALD,43219.0,2026-07-27
TXN-00323,NEFT-TAYLOR AND SONS,34546.0,2026-07-26
TXN-00324,NEFT-RAMSEY WHITNEY AND COFFEY,79301.0,2026-08-01
TXN-00326,PAYMENT MARTINEZ RICHARDSON AND CURRY,86814.0,2026-07-31
TXN-00327,RICHARDS CARSON PAYMENT,57370.0,2026-08-12
TXN-00328,RODRIGUEZ HALL,60441.0,2026-08-09
TXN-00329,HARVEY PLC PAYMENT,41966.0,2026-08-07
TXN-00331,REID GROUP,63163.0,2026-08-30
TXN-00332,PAYMENT TURNER ORTIZ AND TAYLOR,13219.0,2026-08-07
TXN-00333,IMPS TORRES GROUP,71424.0,2026-08-31
TXN-00334,DAVIS PLC PAYMENT,44207.0,2026-07-23
TXN-00335,UPI-PRICE LLC,88207.0,2026-07-17
TXN-00336,IMPS AVERY HORTON,7243.0,2026-08-16
TXN-00338,IMPS BASS PLC,30392.0,2026-07-11
TXN-00339,IMPS CROSBY RAMIREZ,49176.0,2026-08-27
TXN-DUP-00339,IMPS CROSBY RAMIREZ,49176.0,2026-08-27
TXN-00340,IMPS WOOD RAMOS AND SAMPSON,30643.0,2026-07-14
TXN-00341,IMPS GARCIA JENNINGS,81322.0,2026-07-22
TXN-00343,LOPEZ MARTINEZ PAYMENT,4794.0,2026-08-23
TXN-00344,PAYMENT DAVIS LEWIS,45541.0,2026-08-12
TXN-00345,UPI-HARPER SMITH,75228.0,2026-07-23
TXN-00346,PAYMENT ZHANG PLC,5018.0,2026-08-29
TXN-DUP-00346,PAYMENT ZHANG PLC,5018.0,2026-08-29
TXN-00347,PAYMENT JONES PLC,50308.0,2026-08-08
TXN-00349,SCHROEDER KRAMER,75395.0,2026-07-27
TXN-00350,SMITH GARRISON,21392.0,2026-08-24
TXN-DUP-00350,SMITH GARRISON,21392.0,2026-08-24
TXN-00352,GUERRERO INC PAYMENT,64656.0,2026-07-27
TXN-00353,SMITH AND,29255.0,2026-07-17
TXN-00356,IMPS STRICKLAND PALMER,6952.0,2026-08-20
TXN-00357,PAYMENT HAYES AND SONS,8180.0,2026-09-03
