invoice_id,status,final_status,expected_status,confidence,ai_decision,ai_confidence,ai_action,ai_reason,ai_time_seconds
INV-00212,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,80.29,,0.0,NOT_REQUIRED,,0.0
INV-00222,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,75.5,,0.0,NOT_REQUIRED,,0.0
INV-00265,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,66.97,,0.0,NOT_REQUIRED,,0.0
INV-00287,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,72.11,,0.0,NOT_REQUIRED,,0.0
INV-00290,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.03,,0.0,NOT_REQUIRED,,0.0
INV-00298,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,72.93,,0.0,NOT_REQUIRED,,0.0
INV-00301,AMOUNT_MISMATCH,MATCHED,MISSING_PAYMENT,65.03,MATCHED,0.98,AUTO_RESOLVE,"Invoice amount, date, and customer match the strongest criteria.",25.27
INV-00325,REVIEW_REQUIRED,AMOUNT_MISMATCH,MISSING_PAYMENT,63.45,AMOUNT_MISMATCH,0.85,AUTO_RESOLVE,Invoice amount is significantly different from the provided amounts.,24.24
INV-00330,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,70.19,,0.0,NOT_REQUIRED,,0.0
INV-00337,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,68.85,,0.0,NOT_REQUIRED,,0.0
INV-00342,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,70.35,,0.0,NOT_REQUIRED,,0.0
INV-00348,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.91,,0.0,NOT_REQUIRED,,0.0
INV-00351,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,79.88,,0.0,NOT_REQUIRED,,0.0
INV-00354,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,72.58,,0.0,NOT_REQUIRED,,0.0
INV-00355,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,79.89,,0.0,NOT_REQUIRED,,0.0
INV-00394,MATCHED,MATCHED,MISSING_PAYMENT,90.0,,0.0,NOT_REQUIRED,,0.0
INV-00395,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,69.63,,0.0,NOT_REQUIRED,,0.0
INV-00410,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,73.92,,0.0,NOT_REQUIRED,,0.0
INV-00416,AMOUNT_MISMATCH,AMOUNT_MISMATCH,SPLIT_PAYMENT,70.62,,0.0,NOT_REQUIRED,,0.0
INV-00440,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,69.06,,0.0,NOT_REQUIRED,,0.0
INV-00447,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,73.93,,0.0,NOT_REQUIRED,,0.0
INV-00452,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,77.01,,0.0,NOT_REQUIRED,,0.0
INV-00492,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,71.36,,0.0,NOT_REQUIRED,,0.0
INV-00496,AMOUNT_MISMATCH,AMOUNT_MISMATCH,MISSING_PAYMENT,77.63,,0.0,NOT_REQUIRED,,0.0
